nomeEstacao,codEstacao,latitude,longitude,data,ano,mes,valorMedida,coordenadas
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-11,2023,4,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-13,2023,4,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-14,2023,4,3.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-15,2023,4,7.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-16,2023,4,0.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-17,2023,4,4.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-18,2023,4,43.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-19,2023,4,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-22,2023,4,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-23,2023,4,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-24,2023,4,4.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-25,2023,4,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-26,2023,4,1.2000000000000002,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-27,2023,4,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-28,2023,4,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-29,2023,4,7.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-04-30,2023,4,2.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-01,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-02,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-04,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-05,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-09,2023,5,9.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-10,2023,5,1.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-11,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-13,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-15,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-16,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-18,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-21,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-23,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-24,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-27,2023,5,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-28,2023,5,6.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-29,2023,5,2.0,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-30,2023,5,2.6,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-05-31,2023,5,5.800000000000001,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-01,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-02,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-04,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-05,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-07,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-09,2023,6,0.4,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-11,2023,6,0.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-12,2023,6,4.2,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-13,2023,6,16.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-14,2023,6,11.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-15,2023,6,6.8,"-48.41638888,-24.96277777"
BARRA DO TURVO,A746,-24.96277777,-48.41638888,2023-06-16,2023,6,1.4000000000000001,"-48.41638888,-24.96277777"
